max_vibr,max_f1,max_f2,max_f3,max_dist,min_vibr,min_dist,mean_vibr,mean_dist,std_vibr,std_dist,labels
471.0,135.0,250.0,223.0,72.0,292.0,39.0,378.03,45.23,46.92194689055432,3.221350648408211,1.0
471.0,135.0,250.0,223.0,49.0,292.0,39.0,377.92,44.97,46.95586864280119,1.7745703705404305,1.0
471.0,135.0,250.0,223.0,49.0,292.0,39.0,378.37,44.94,46.632318192429594,1.7310112651279888,1.0
471.0,135.0,250.0,223.0,49.0,292.0,39.0,378.34,44.94,46.67595098120659,1.7310112651279888,1.0
471.0,135.0,250.0,223.0,49.0,292.0,39.0,377.93,44.97,46.72542241649614,1.7231076576929254,1.0
471.0,135.0,250.0,223.0,49.0,292.0,39.0,376.71,44.97,46.28785909933619,1.7231076576929258,1.0
469.0,135.0,250.0,223.0,49.0,292.0,39.0,375.17,45.02,45.68305046732322,1.6791664598841889,1.0
469.0,135.0,250.0,223.0,49.0,292.0,39.0,373.88,45.04,45.14405387202173,1.642680735870486,1.0
469.0,135.0,250.0,223.0,49.0,292.0,39.0,373.22,45.07,44.88821226112709,1.5953369550035503,1.0
469.0,135.0,250.0,223.0,49.0,292.0,39.0,373.43,45.06,44.9170914018261,1.5988746042138515,1.0
469.0,135.0,250.0,223.0,49.0,292.0,39.0,374.2,45.07,44.53290917961682,1.5953369550035503,1.0
469.0,135.0,250.0,223.0,49.0,292.0,39.0,374.2,45.06,44.53290917961682,1.5926079241294764,1.0
469.0,135.0,250.0,223.0,49.0,292.0,39.0,372.79,45.04,44.27872965657439,1.6057397049335238,1.0
464.0,135.0,250.0,223.0,49.0,272.0,39.0,370.82,44.98,44.33675224912172,1.6430459518832699,1.0
464.0,135.0,242.0,223.0,49.0,272.0,39.0,369.37,45.02,44.22525409763069,1.6185178404948153,1.0
464.0,135.0,242.0,216.0,49.0,272.0,39.0,368.56,45.04,44.21545431181274,1.6057397049335238,1.0
464.0,135.0,242.0,216.0,49.0,272.0,39.0,368.02,45.01,44.084459846980096,1.5779416972752829,1.0
464.0,135.0,242.0,216.0,49.0,272.0,39.0,367.61,45.02,44.26373120287082,1.5810123339177338,1.0
464.0,135.0,242.0,218.0,49.0,266.0,41.0,366.9,45.09,45.30618059382186,1.4635231463834113,1.0
464.0,135.0,242.0,218.0,49.0,266.0,41.0,365.81,45.11,46.37277110546662,1.4484129245487973,1.0
464.0,135.0,242.0,218.0,49.0,243.0,41.0,364.08,45.13,47.676761634993625,1.4605136082899057,1.0
464.0,135.0,242.0,218.0,49.0,243.0,41.0,362.5,45.16,48.04945369096302,1.4880860190190617,1.0
464.0,135.0,242.0,218.0,49.0,243.0,41.0,361.44,45.16,48.2908521357824,1.4880860190190617,1.0
464.0,133.0,242.0,218.0,49.0,243.0,41.0,360.87,45.17,48.33397459344721,1.4970303938130312,1.0
464.0,133.0,242.0,218.0,49.0,243.0,41.0,359.96,45.16,47.72607672960349,1.4947909552843834,1.0
464.0,133.0,242.0,218.0,49.0,243.0,41.0,358.63,45.16,46.990138327100084,1.4947909552843834,1.0
464.0,133.0,242.0,218.0,49.0,243.0,41.0,357.97,45.17,46.3153225185791,1.4970303938130312,1.0
464.0,133.0,242.0,218.0,49.0,243.0,41.0,357.59,45.17,45.96761795003086,1.4970303938130312,1.0
464.0,133.0,242.0,218.0,49.0,243.0,41.0,356.7,45.14,45.218911972757596,1.4698299221338502,1.0
